Q9FWY7	O80837
Q9T0I8	Q8LAS7
Q9FHW7	Q9FH99
Q9LNJ5	Q8LBM2
Q94B71	Q9S736
O24409	Q38829
Q38828	O24409
Q84Y95	Q9FIC3
Q9SSM4	Q9SZ15
Q8W4J8	Q9SLH3
P0CJ47	Q9LV35
Q9M0V3	Q9FFS4
Q9LDU5	Q9SV55
Q9SJH0	Q93VJ4
Q9SQX9	Q8GUI6
Q94AI7	Q8LBM2
P49177	Q9FMF5
Q8H1F2	P18064
Q8RY59	O82132
Q8L4B2	Q67XJ2
Q9FGJ3	Q9FGP7
Q9FGJ3	Q9FGP8
Q9FGJ3	Q8L4B2
Q9FGJ3	Q58CM8
O04027	Q4PSE2
O04027	Q8L4B2
O04027	Q58CM8
O82248	Q9FGP8
O82248	Q8L4B2
Q84W66	Q58CM8
Q84W66	Q9FGP8
Q84W66	Q8L4B2
Q9SIT9	Q58CM8
Q9SIT9	Q9FGP8
Q9SIT9	Q4PSE2
Q9SFD8	Q9FMV5
Q9SFD8	Q9FGP7
Q9SFD8	Q8L4B2
Q67XJ2	Q9FGP8
Q67XJ2	Q58CM8
Q67XJ2	Q4PSE2
Q9FGP7	O04027
Q9FGP7	O82248
Q58CM8	O82248
Q8L4B2	Q9LXV5
Q8L4B2	Q9M9X4
O04027	Q9SIT9
O24409	Q9ZTX9
O24409	Q9ZTX8
Q9FF75	Q9FH18
Q9LM25	Q8GWH3
Q9LNW3	Q1ECF1
Q84JU6	Q39057
Q9M0N8	Q9FG37
Q570C0	Q9XFM0
Q8S4Q6	P14712
Q9FQ08	Q9FQ09
P42774	O24646
Q8RWY3	F4HY56
Q9LD83	Q940H6
Q7XYY2	Q39204
Q7XYY2	O82132
Q7XYY2	Q9FIP9
Q9CAJ0	Q8VZS8
Q9CAJ0	O80992
Q9CAJ0	Q9SSM7
Q9CAJ0	O80920
Q9CAJ0	Q9FLB1
Q9CAJ0	Q8S8E3
Q9CAJ0	Q1ECF1
Q9LNW3	Q9FLB1
Q8S307	Q9SLH3
Q9FHW7	Q9SN10
Q93VD3	Q8LAS7
Q9FN03	P43254
Q9SII8	P55034
Q8S307	Q9C8Y3
O81775	Q9S752
Q9FHH5	Q9S752
Q3E965	Q9S752
Q3EAV6	Q9S752
Q3E8L0	Q9S752
Q42551	Q9FLP6
Q9SZJ5	Q9SB51
Q9XF57	Q9FMA3
Q9SYX2	P14713
Q9FMD5	Q9C5J8
Q9SSL9	O48814
Q9ZSD4	Q9C5X3
O24646	Q8GZM7
O24646	O80536
Q93WC4	P93022
Q9FGJ3	Q4PSE2
O82248	Q4PSE2
Q84W66	Q4PSE2
O80920	P49598
Q9SAV0	Q1EC66
Q8LPL6	O23140
Q1EC66	F4HXZ1
Q1EC66	Q94F47
Q1EC66	Q96318
Q1EC66	Q9S7E4
Q1EC66	P15455
Q0WPU1	Q8L7E5
Q8S307	Q9LU89
Q8S307	O22446
Q8S307	Q94AI7
Q9C9L2	Q9LQF0
Q93Z00	Q9C9L2
Q9LT89	Q9LQF0
Q93Z00	Q9C518
Q93Z00	Q9LQF0
Q9FTA2	Q9LQF0
Q9C9L2	Q9C518
Q9LEZ9	Q8LPR5
Q9FTA2	Q9C518
Q9LT89	Q9C518
Q9FME3	Q9C518
Q9S7W5	Q9C9L2
Q9S7W5	Q9C518
Q9SN51	P49598
Q38997	P49598
O22607	Q8RX28
Q9ZNV9	Q9C5U0
Q9SN51	P49597
Q9SN51	Q9LNW3
Q9SJR5	Q8L8A5
Q8L8A6	Q8L8A5
Q8S9M3	Q8L8A5
Q8L8A8	Q93VH6
Q8L8A7	Q93VH6
Q9SV55	Q84MB2
Q8GY55	Q84MB2
Q42551	Q9SJT1
Q9M7Q3	Q9SJN0
Q9SWH4	O49048
Q8GXW1	Q9LMA8
Q9FE22	Q8S4Q6
Q8VY16	Q6F6B5
Q9SMR4	Q0WVL7
Q9LMA8	Q58G47
Q9LMA8	Q8W4J8
Q9LVI4	Q8W4J8
Q9SSM7	P49598
Q9FLB1	P49598
Q8S8E3	P49598
Q8RYC8	Q9C5X0
Q8RYC6	Q8RYC8
Q93WC4	Q8RYC8
Q9XFM0	Q8RYC8
O24409	Q8RYC8
Q9C5X0	Q9C8N7
Q8RYC6	Q9C8N7
Q38831	Q38822
Q38827	Q38822
Q8H174	Q38822
Q9XFM0	Q38822
Q8H174	P33078
Q9XFM0	P33078
Q9ZSY8	P33078
O24409	P33078
Q38825	Q38831
Q38825	O24410
Q38827	Q8LAL2
Q9ZSY8	Q38828
Q38827	Q9XFM0
Q9C5X0	Q38828
Q38831	Q9C5X0
Q9ZSY8	Q38831
Q9XFM0	O24410
Q9ZSY8	Q9C5X0
Q9FKM7	Q9ZSY8
Q9ZSY8	Q8H174
Q9XFM0	Q9ZSY8
Q8LAL2	Q9C5X0
Q9XFM0	Q8H174
Q9FKM7	Q9C5X0
Q94JM3	Q8RYC6
Q94JM3	Q9C5X0
Q38825	Q9ZTX9
Q9C5X0	Q9ZTX9
P33078	P93024
Q38828	P93024
Q38831	P93024
Q9FKM7	P93024
O24410	P93024
Q9ZSY8	P93024
Q9ZSY8	Q9ZTX8
Q38831	Q9ZTX8
Q38827	Q9ZTX8
Q38831	P93022
Q38828	P93022
Q8RYC6	Q9ZTX8
Q8RYC6	P93022
Q9XFM0	P93022
O24410	P93022
Q8H174	Q9FGV1
Q9XFM0	Q9FGV1
Q9ZSY8	Q9FGV1
O24410	Q9FGV1
Q38831	Q9FGV1
Q9XED8	Q38828
Q9FKM7	Q9SKN5
Q8RYC6	Q9SKN5
Q9XED8	Q9C5X0
Q9FKM7	Q93YR9
Q8RYC8	Q38822
Q8RYC8	Q38828
A9LNK9	F4KDH9
Q9M0K4	O24646
Q8L7G0	Q9C5X0
Q94JQ6	F4IIM1
Q5D869	O23463
O80842	Q8LBP4
P0C7Q8	Q93Z00
P51102	P13114
P51102	Q96330
Q9LVI4	Q9LNJ5
Q58G47	Q9LNJ5
Q9LDU5	Q9LNJ5
Q9C9E3	Q9LNJ5
Q8W4J8	Q9LNJ5
Q9M246	Q9LNJ5
Q9SJN0	Q9M7Q5
P14712	Q9SYX2
O80396	Q39021
Q93Z00	Q9SLH3
O65685	Q9FPQ8
Q9FMA3	Q9FXT6
O80871	Q39026
O81836	Q8LPR5
O81836	O82277
O81836	Q9S7W5
Q9FVC1	Q9AT76
Q93ZM9	Q9SV55
Q93ZM9	Q8GY55
Q93ZM9	Q9C5K8
Q93ZM9	Q9LMA8
O81836	Q9C518
O81836	Q9C9L2
Q9LHE4	Q9FNC7
C0SVM5	Q39057
Q9SJM4	Q8VYD2
Q9S7U9	Q39026
Q9C5K8	Q9C9E3
Q9C5K8	Q9SV55
Q9SV55	Q9C9E3
Q9SV55	Q8W4J8
Q8GY55	Q9LVI4
Q9FML4	Q3EAI1
Q84V03	O82804
Q84V03	O04211
Q8VWK4	Q9M2X3
Q8VWK4	Q56Y52
Q9LHF0	Q9FRL5
Q9SJ56	P46640
Q9XGN1	Q9ZUU0
Q680Q4	P43254
Q9LKL2	Q84LH8
Q9LKL2	O80536
Q9SLH3	Q8W2F3
Q9FHN8	Q9LFA2
P18064	Q9LX49
Q9FHW2	Q8LGE3
Q38997	Q944A6
Q8LGH4	P48732
O22265	P37107
O04425	Q6NLV4
Q96524	Q8GY61
P93002	Q39237
Q9FFK1	P54609
Q570C0	Q94AH6
Q940U6	P42804
Q9LJD7	P43254
Q38897	P46639
Q94AH6	Q8W207
P24100	Q8LGA1
Q9SKK0	Q9FHW7
Q708Y0	O24606
Q9SKK0	O24606
Q9STX3	Q9SLH3
Q9ZVH4	Q9XHZ8
Q9FNZ5	P93002
Q9ZVH4	O22286
P18064	Q9SKT0
Q38897	P46640
Q9S814	P49333
Q9ZQ19	Q9SKI4
Q8LGH4	P43254
P24100	Q0WNX9
Q9SIW1	P46639
Q1EC66	Q94B78
Q1EC66	Q8L940
Q1EC66	P42742
O82481	Q93ZY2
O82481	Q0WNP7
O04027	Q9FGP8
Q6X5Y6	Q8L765
Q9LPL4	Q9FHW7
Q9ZP59	Q9FHW7
B7ZWR6	P22953
Q9LVH5	P55737
Q9ZPH2	Q9FIC3
Q9FN03	Q9LTJ6
Q9ZSD4	Q9ZTW3
Q38825	Q9XFM0
Q38828	Q9XFM0
Q9FGV1	O24409
